"_time",clientip,host,method,source,sourcetype,spent,status,"uri_path","uri_query"
"2023-04-27T00:36:51.822+00:00","127.0.0.1","splunk-entreprise-deployment-776c64c796-hp7s7",GET,"/opt/splunk/var/log/splunk/splunkd_access.log","splunkd_access",0,200,"//services/cluster/config","output_mode=json"
"2023-04-27T00:36:51.790+00:00","127.0.0.1","splunk-entreprise-deployment-776c64c796-hp7s7",GET,"/opt/splunk/var/log/splunk/splunkd_access.log","splunkd_access",0,200,"//services/server/roles","output_mode=json"
"2023-04-27T00:36:51.778+00:00","127.0.0.1","splunk-entreprise-deployment-776c64c796-hp7s7",GET,"/opt/splunk/var/log/splunk/splunkd_access.log","splunkd_access",0,200,"/services/properties/telemetry/general/sendSupportUsage",
"2023-04-27T00:36:51.613+00:00","127.0.0.1","splunk-entreprise-deployment-776c64c796-hp7s7",GET,"/opt/splunk/var/log/splunk/splunkd_access.log","splunkd_access",0,200,"//services/cluster/config","output_mode=json"
"2023-04-27T00:36:51.597+00:00","127.0.0.1","splunk-entreprise-deployment-776c64c796-hp7s7",GET,"/opt/splunk/var/log/splunk/splunkd_access.log","splunkd_access",0,200,"//services/server/roles","output_mode=json"
"2023-04-27T00:36:50.338+00:00","127.0.0.1","splunk-entreprise-deployment-776c64c796-hp7s7",GET,"/opt/splunk/var/log/splunk/splunkd_access.log","splunkd_access",0,200,"/services/search/distributed/peers","output_mode=json"
"2023-04-27T00:36:50.335+00:00","127.0.0.1","splunk-entreprise-deployment-776c64c796-hp7s7",GET,"/opt/splunk/var/log/splunk/splunkd_access.log","splunkd_access",0,200,"/services/search/distributed/config","output_mode=json"
"2023-04-27T00:36:50.332+00:00","127.0.0.1","splunk-entreprise-deployment-776c64c796-hp7s7",GET,"/opt/splunk/var/log/splunk/splunkd_access.log","splunkd_access",0,200,"/services/authentication/users/admin","output_mode=json"
"2023-04-27T00:36:50.329+00:00","127.0.0.1","splunk-entreprise-deployment-776c64c796-hp7s7",GET,"/opt/splunk/var/log/splunk/splunkd_access.log","splunkd_access",1,200,"/servicesNS/nobody/splunk_instrumentation/telemetry/general",
"2023-04-27T00:36:50.325+00:00","127.0.0.1","splunk-entreprise-deployment-776c64c796-hp7s7",GET,"/opt/splunk/var/log/splunk/splunkd_access.log","splunkd_access",1,200,"/services/server/info",
"2023-04-27T00:36:47.649+00:00","127.0.0.1","splunk-entreprise-deployment-776c64c796-hp7s7",GET,"/opt/splunk/var/log/splunk/splunkd_access.log","splunkd_access",1,200,"/services/server/info",
"2023-04-27T00:36:47.163+00:00","127.0.0.1","splunk-entreprise-deployment-776c64c796-hp7s7",GET,"/opt/splunk/var/log/splunk/splunkd_access.log","splunkd_access",0,200,"/services/search/timeparser/tz",
"2023-04-27T00:36:47.150+00:00","127.0.0.1","splunk-entreprise-deployment-776c64c796-hp7s7",GET,"/opt/splunk/var/log/splunk/splunkd_access.log","splunkd_access",1,200,"/services/server/info",
"2023-04-27T00:36:46.673+00:00","127.0.0.1","splunk-entreprise-deployment-776c64c796-hp7s7",GET,"/opt/splunk/var/log/splunk/splunkd_access.log","splunkd_access",1,200,"/services/server/info",
"2023-04-27T00:36:46.669+00:00","127.0.0.1","splunk-entreprise-deployment-776c64c796-hp7s7",GET,"/opt/splunk/var/log/splunk/splunkd_access.log","splunkd_access",1,200,"/services/server/info",
"2023-04-27T00:36:46.666+00:00","127.0.0.1","splunk-entreprise-deployment-776c64c796-hp7s7",GET,"/opt/splunk/var/log/splunk/splunkd_access.log","splunkd_access",0,200,"/servicesNS/nobody/splunk_instrumentation/configs/conf-telemetry/general",
"2023-04-27T00:36:46.657+00:00","127.0.0.1","splunk-entreprise-deployment-776c64c796-hp7s7",GET,"/opt/splunk/var/log/splunk/splunkd_access.log","splunkd_access",1,200,"/services/authentication/users/admin",
"2023-04-27T00:36:46.641+00:00","127.0.0.1","splunk-entreprise-deployment-776c64c796-hp7s7",GET,"/opt/splunk/var/log/splunk/splunkd_access.log","splunkd_access",3,200,"/services/apps/local","search=disabled%3Dfalse&count=-1"
"2023-04-27T00:36:46.631+00:00","127.0.0.1","splunk-entreprise-deployment-776c64c796-hp7s7",GET,"/opt/splunk/var/log/splunk/splunkd_access.log","splunkd_access",1,200,"/servicesNS/admin/search/data/ui/nav/default",
